,Name,CountryCode,Population
533,Ust-Ilimsk,RUS,105200
105,Uruguaiana,BRA,126305
484,Urayasu,JPN,127550
444,Urawa,JPN,469675
503,Urasoe,JPN,96002
372,Unnao,IND,107425
311,Umlazi,ZAF,339233
514,Uluberia,IND,155172
606,Ulanhot,CHN,159538
405,Ujung Pandang,IDN,1060257
470,Ujjain,IND,362266
512,Ufa,RUS,1091200
731,Ueda,JPN,124217
950,Ubon Ratchathani,THA,116300
66,UberlÃ¢ndia,BRA,487222
80,Uberaba,BRA,249225
706,Ube,JPN,175206
985,TÅ¡ernivtsi,UKR,259000
983,TÅ¡erkasy,UKR,309000
519,TÅ¡erepovets,RUS,324400
386,TÃ³rshavn,FRO,14542
20,TÃ©bessa,DZA,112007
868,TÃ¢rgoviste,ROM,98980
843,Tychy,POL,133178
494,Tuticorin,IND,199854
981,Tunja,COL,109740
44,Tungi,BGD,168702
640,Tumen,CHN,91471
869,Tulcea,ROM,96278
362,Tuguegarao,PHL,120645
936,Tucheng,TWN,224897
762,Tsuyama,JPN,91170
752,Tsuruoka,JPN,100713
474,Tsukuba,JPN,160768
711,Tsu,JPN,164543
658,Tshikapa,COD,180860
942,Tsaotun,TWN,96800
421,Trieste,ITA,216459
37,Tres de Febrero,ARG,352311
644,Trento,ITA,104906
679,Toyota,JPN,346090
674,Toyonaka,JPN,396689
678,Toyohashi,JPN,360066
682,Toyama,JPN,325790
61,Townsville,AUS,109914
478,Tottori,JPN,147523
202,TorrejÃ³n de Ardoz,ESP,92262
431,Torre del Greco,ITA,94505
418,Torino,ITA,903705
411,Torbat-e Heydariyeh,IRN,94600
869,Tongliao,CHN,255129
864,Tongchuan,CHN,280657
680,Tong-yong,KOR,131717
486,Tondabayashi,JPN,125094
731,TonalÃ¡,MEX,336109
723,Toluca,MEX,665617
181,Toledo,BRA,99387
459,Tokushima,JPN,269649
681,Tokorozawa,JPN,325809
753,Tokai,JPN,99738
498,Toda,JPN,103969
726,Tlaquepaque,MEX,475472
552,Titagarh,IND,114085
370,Tiruvannamalai,IND,109196
485,Tiruppur (Tirupper),IND,235661
505,Tirupati,IND,174369
526,Timkur,IND,138903
576,Tieli,CHN,265683
619,Tiefa,CHN,131807
21,Tiaret,DZA,100118
872,Tianshui,CHN,244974
893,Tianmen,CHN,186332
789,Thunder Bay,CAN,115913
913,ThiÃ¨s,SEN,248000
458,Thiruvananthapuram (Trivandrum,IND,524006
772,Tete,MOZ,101984
195,Terrassa,ESP,168695
986,Ternopil,UKR,236000
157,TeresÃ³polis,BRA,128079
97,Teresina,BRA,691942
348,Tenali,IND,143726
240,Temuco,CHL,233041
760,Temapache,MEX,102824
622,Tel Aviv-Jaffa,ISR,348100
113,Teixeira de Freitas,BRA,108441
591,Teheran,IRN,6758845
400,Tegucigalpa,HND,813900
742,TecÃ¡mac,MEX,172410
388,Tbilisi,GEO,1235200
346,Taytay,PHL,198183
84,TaubatÃ©,BRA,229130
188,TatuÃ­,BRA,93897
419,Tasikmalaya,IDN,179800
300,Tarragona,ESP,113016
56,Tarija,BOL,125255
798,Taraz,KAZ,330100
634,Taranto,ITA,208214
609,Taonan,CHN,150168
369,Tanza,PHL,110517
438,Tanjung Pinang,IDN,89900
710,Tanger,MAR,521735
71,Tangail,BGD,106004
818,Tando Adam,PAK,103400
242,Tanauan,PHL,117539
732,Tampico,MEX,294789
924,Tampere,FIN,195468
391,Tamale,GHA,151069
719,Tama,JPN,146712
541,Tallinn,EST,403981
274,Talkha,EGY,97700
239,Talcahuano,CHL,277752
242,Talca,CHL,187557
380,Talavera,PHL,97329
677,Takatsuki,JPN,361747
462,Takasaki,JPN,239124
755,Takasago,JPN,97632
470,Takaoka,JPN,174380
452,Takamatsu,JPN,332471
749,Tajimi,JPN,103171
508,Taizz,YEM,317600
608,Taizhou,CHN,152442
544,Taiyuan,CHN,1968400
932,Tainan,TWN,728060
348,Tagum,PHL,179531
332,Taguig,PHL,467375
14,Tafuna,ASM,5200
666,Taejon,KOR,1425835
349,Tacloban,PHL,178639
713,Tachikawa,JPN,159430
394,Tabriz,IRN,1191043
133,TaboÃ£o da Serra,BRA,197550
247,Tabaco,PHL,107166
17,SÃ©tif,DZA,179055
76,SÃ£o Vicente,BRA,286848
95,SÃ£o LuÃ­s,BRA,837588
104,SÃ£o JoÃ£o de Meriti,BRA,440052
109,SÃ£o JosÃ© do Rio Preto,BRA,351944
135,SÃ£o Carlos,BRA,187122
102,SÃ£o Caetano do Sul,BRA,133321
96,SÃ£o Bernardo do Campo,BRA,723132
995,Szeged,HUN,158158
36,Sydney,AUS,3276207
208,Swindon,GBR,180000
135,Swansea,GBR,230000
469,Suzuka,JPN,184061
914,Suzhou,CHN,151862
134,Suzano,BRA,195434
327,Suva,FJI,77366
146,Sutton Coldfield,GBR,106001
520,Surrey,CAN,304477
363,Surigao,PHL,118534
521,Surgut,RUS,274900
374,Surendranagar,IND,105973
403,Surabaya,IDN,2663820
633,Suqian,CHN,105021
577,Sunrise Manor,USA,95362
137,Sunderland,GBR,183310
136,SumarÃ©,BRA,186205
254,Sultan Kudarat,PHL,94861
809,Sukkur,PAK,329176
424,Sukabumi,IDN,125766
612,Suizhou,CHN,142302
583,Suihua,CHN,227881
174,Suez,EGY,417610
795,Sudbury,CAN,92686
85,Sucre,BOL,178426
134,Stoke-on-Trent,GBR,252000
143,Stockport,GBR,132813
233,Stara Zagora,BGR,147939
217,Stanley,FLK,1636
511,St Petersburg,RUS,4694000
320,Springs,ZAF,162072
560,Springfield,USA,152082
555,Spokane,USA,195629
184,Soyapango,SLV,129800
204,Southampton,GBR,216000
26,South Hill,AIA,961
323,South Dum Dum,IND,232811
572,South Bend,USA,107789
957,Sousse,TUN,145900
314,Soshanguve,ZAF,242727
385,Sorsogon,PHL,92512
67,Sorocaba,BRA,466823
667,Songnam,KOR,869094
741,Soledad de Graciano SÃ¡nchez,MEX,179956
302,Solapur (Sholapur),IND,604215
790,Sokoto,NGA,204900
696,Soka,JPN,222768
654,Sogamoso,COL,107728
153,Sofija,BGR,1122302
151,Sobral,BRA,146005
518,Smolensk,RUS,353400
847,Slupsk,POL,102370
989,Slovjansk,UKR,127000
155,Sliven,BGR,105530
11,Skikda,DZA,128747
963,Sivas,TUR,246642
775,Sittwe (Akyab),MMR,137600
544,Sitapur,IND,121842
405,Sirjan,IRN,135024
73,Sirajganj,BGD,99669
570,Siping,CHN,317223
995,Sinuiju,PRK,326011
982,Simferopol,UKR,339000
488,Siliguri (Shiliguri),IND,216950
371,Silay,PHL,107722
352,Silang,PHL,156137
519,Sikar,IND,148272
531,Shymkent,KAZ,360100
939,Shulin,TWN,151260
262,Shubra al-Khayma,EGY,870716
847,Shuangyashan,CHN,386081
558,Shivapuri,IND,108277
951,Shishou,CHN,104571
593,Shiraz,IRN,1053025
460,Shimonoseki,JPN,257263
501,Shimoga,IND,179258
695,Shimizu,JPN,239123
354,Shillong,IND,131719
815,Shikarpur,PAK,133300
861,Shihezi,CHN,299676
179,Shibin al-Kawm,EGY,159909
825,Shenzhen,CHN,950500
863,Shashi,CHN,281352
871,Shaoyang,CHN,247227
963,Shaowu,CHN,90286
854,Shaoguan,CHN,350043
948,Shanwei,CHN,107847
554,Shantou,CHN,580000
585,Shangzi,CHN,215373
539,Shanghai,CHN,9696300
456,Shambajinagar (Aurangabad),IND,573272
792,Shaki,NGA,174500
409,Shahrud,IRN,104765
956,Sfax,TUN,257800
281,Sevilla,ESP,701927
727,Seto,JPN,130470
137,Sete Lagoas,BRA,182984
183,SertÃ£ozinho,BRA,98140
257,Serekunda,GMB,102600
283,Serang,IDN,122400
350,Serampore,IND,137028
665,Seoul,KOR,9981619
619,Semnan,IRN,91045
800,Semey,KAZ,269600
269,Semarang,IDN,1104405
260,Sekondi-Takoradi,GHA,103653
507,Secunderabad,IND,167461
518,Scarborough,CAN,594501
712,Sayama,JPN,162472
613,Saveh,IRN,111245
694,Savannakhet,LAO,96652
384,Satara,IND,95133
426,Sassari,ITA,120803
521,Saskatoon,CAN,193647
694,Sasebo,JPN,244240
381,Sasaram,IND,98220
996,Sariwon,PRK,254146
243,Sariaya,PHL,114568
401,Sari,IRN,195882
808,Sargodha,PAK,455360
513,Saratov,RUS,874000
86,Sarajevo,BIH,360000
407,Saqqez,IRN,115394
164,Sapucaia do Sul,BRA,120217
953,Sanya,CHN,102820
106,Santos,BRA,408748
256,Santo Domingo de los Colorados,ECU,202111
555,Santipur,IND,109956
167,Santiago de los Caballeros,DOM,365463
237,Santiago de Chile,CHL,4703954
245,Santiago,PHL,110531
124,SantarÃ©m,BRA,241771
126,Santana do Livramento,BRA,91779
231,Santa Rosa,PHL,185633
168,Santa Rita,BRA,113135
971,Santa Marta,COL,359147
355,Santa Maria,PHL,144282
146,Santa Luzia,BRA,164704
23,Santa FÃ©,ARG,353063
174,Santa Cruz do Sul,BRA,106734
54,Santa Cruz de la Sierra,BOL,935361
191,Santa Cruz de Tenerife,ESP,213050
384,Santa Cruz,PHL,92694
199,Santa Coloma de Gramenet,ESP,120802
141,Santa BÃ¡rbara dÂ´Oeste,BRA,171657
277,Santa Ana,SLV,139389
938,Sanmenxia,CHN,120523
748,Sanda,JPN,105643
763,Sanaa,YEM,503600
29,San Salvador de Jujuy,ARG,178748
276,San Salvador,SLV,415346
53,San Rafael,ARG,94651
165,San Pedro de la Paz,CHL,91684
253,San Pedro de MacorÃ­s,DOM,124735
752,San Pedro Garza GarcÃ­a,MEX,126147
342,San Pedro,PHL,231403
229,San Pablo,PHL,207927
50,San NicolÃ¡s de los Arroyos,ARG,119302
33,San Miguel de TucumÃ¡n,ARG,470809
278,San Miguel,SLV,127696
26,San Miguel,ARG,248700
357,San Mateo,PHL,135603
905,San Marino,SMR,2294
833,San Juan,PRI,434374
368,San Jose,PHL,111009
246,San Jose,PHL,108254
38,San Isidro,ARG,306341
761,San Francisco del RincÃ³n,MEX,100149
543,San Francisco,USA,776733
48,San Fernando del Valle de Cata,ARG,134935
30,San Fernando,ARG,153036
375,San Fernando,PHL,102082
228,San Fernando,PHL,221857
168,San Felipe de Puerto Plata,DOM,89423
764,San Felipe,MEX,95305
234,San Carlos,PHL,154264
364,San Carlos,PHL,118259
159,San Bernardo,CHL,241910
747,San AndrÃ©s Tuxtla,MEX,142251
516,Sambhal,IND,150869
533,Sambalpur,IND,131138
410,Samarinda,IDN,399175
435,Salzburg,AUT,144247
765,Salvatierra,MEX,94322
89,Salvador,BRA,2302832
35,Salta,ARG,367550
557,Salt Lake City,USA,181743
564,Salem,USA,136924
312,Salem,IND,366712
286,Salatiga,IDN,103000
736,Salamanca,MEX,226864
804,Salala,OMN,131813
708,Sakura,JPN,168072
751,Sakata,JPN,101651
966,Sakarya (Adapazari),TUR,190641
662,Sakai,JPN,797735
914,Saint-Louis,SEN,132400
861,Saint-Denis,REU,131480
17,Saint JohnÂ´s,ATG,24000
81,Saint George,BMU,1800
788,Saint Catharines,CAN,136216
48,Saidpur,BGD,96777
469,Saharanpur,IND,374945
495,Sagar,IND,195346
663,Sagamihara,JPN,586300
471,Saga,JPN,170034
290,Sabadell,ESP,184859
887,SaarbrÃ¼cken,DEU,183836
794,Saanich,CAN,101388
172,RÃ­obamba,ECU,123163
49,RÃ­o Cuarto,ARG,134355
258,Rustavi,GEO,155400
154,Ruse,BGR,166467
607,RuiÂ´an,CHN,156468
805,Rudnyy,KAZ,109500
842,Ruda Slaska,POL,159665
239,Roxas,PHL,126352
859,Roubaix,FRA,96984
217,Rotherham,GBR,121380
251,Roseau,DMA,16243
31,Rosario,ARG,907718
313,Roodepoort,ZAF,279340
148,RondonÃ³polis,BRA,155115
627,Roma,ITA,2643581
149,Rochdale,GBR,94313
578,Roanoke,USA,93357
230,Road Town,VGB,8000
894,Rizhao,CHN,185048
566,Rishra,IND,102649
414,Rishon Le Ziyyon,ISR,188200
58,Rio de Janeiro,BRA,5598953
173,Rio Verde,BRA,107755
640,Rimini,ITA,131062
525,Richmond Hill,CAN,116428
523,Richmond,CAN,148867
127,RibeirÃ£o das Neves,BRA,232685
172,RibeirÃ£o Pires,BRA,108121
728,Reynosa,MEX,419776
413,ReykjavÃ­k,ISL,109184
534,Rewa,IND,128981
27,Resistencia,ARG,229212
627,Renqiu,CHN,114256
417,Rehovot,ISR,90300
638,Reggio nellÂ´ Emilia,ITA,143664
422,Reggio di Calabria,ITA,179617
140,Reading,GBR,148000
806,Rawalpindi,PAK,1406214
425,Ravenna,ITA,138418
524,Raurkela Civil Township,IND,140408
596,Rasht,IRN,417748
66,Rangpur,BGD,191398
213,Randfontein,ZAF,120838
206,Randburg,ZAF,341288
455,Ranchi,IND,599306
320,Rampur,IND,243742
626,Ramat Gan,ISR,126900
491,Ramagundam,IND,214384
550,Raleigh,USA,276093
367,Rajapalaiyam,IND,114202
314,Rajahmundry,IND,324851
538,Raj Nandgaon,IND,125371
463,Raipur,IND,438639
584,Raigarh,IND,89166
343,Raiganj,IND,151045
811,Rahim Yar Khan,PAK,228479
617,Rafsanjan,IRN,98300
355,Rae Bareli,IND,129904
534,Qyzylorda,KAZ,157400
785,QuÃ©bec,CAN,167264
629,Quzhou,CHN,112373
563,Qutubullapur,IND,105380
20,Quilmes,ARG,559249
328,Quezon,PHL,2173831
258,Quevedo,ECU,129631
396,Quetzaltenango,GTM,90801
110,Queimados,BRA,115020
595,Quanzhou,CHN,185154
533,Qostanay,KAZ,221400
412,Qomsheh,IRN,89800
594,Qom,IRN,777677
880,Qitaihe,CHN,214957
548,Qiqihar,CHN,1070000
849,Qinhuangdao,CHN,364972
906,Qingyuan,CHN,164641
269,Qina,EGY,171275
621,Qidong,CHN,126872
884,Qianjiang,CHN,205504
398,Qazvin,IRN,291117
902,Qashqar,CHN,174570
608,Qarchak,IRN,142690
1,Qandahar,AFG,237500
404,Qaemshahr,IRN,143286
766,PÃ¡nuco,MEX,90551
993,Pyongyang,PRK,2484000
901,Puyang,CHN,175988
962,Putian,CHN,91030
999,Pusan,KOR,3804522
432,Purwakarta,IDN,95900
387,Purulia,IND,92574
551,Purnea (Purnia),IND,114912
358,Puri,IND,125199
626,Puqi,CHN,117264
246,Punta Arenas,CHL,125631
830,Puno,PER,101578
443,Pune,IND,1566651
740,Puerto Vallarta,MEX,183741
233,Puerto Princesa,PHL,161912
244,Puerto Montt,CHL,152194
238,Puente Alto,CHL,386236
575,Pueblo,USA,102121
426,Probolinggo,IDN,120770
513,Prizren,YUG,92303
307,Pretoria,ZAF,658630
530,Praia,CPV,94800
953,Praha,CZE,1181126
156,PoÃ§os de Caldas,BRA,129683
180,Pouso Alegre,BRA,100028
891,Potsdam,DEU,128983
322,Potchefstroom,ZAF,101817
28,Posadas,ARG,201273
206,Portsmouth,GBR,190000
80,Porto-Novo,BEN,194000
113,Porto Velho,BRA,309750
60,Porto Alegre,BRA,1314032
656,Portmore,JAM,99799
952,Port-of-Spain,TTO,43396
398,Port-au-Prince,HTI,884472
921,Port Sudan,SDN,308195
823,Port Moresby,PNG,247000
784,Port Harcourt,NGA,410000
306,Port Elizabeth,ZAF,752319
550,Porbandar,IND,116671
651,PopayÃ¡n,COL,200719
214,Poole,GBR,141000
272,Pontianak,IDN,409632
119,Ponta Grossa,BRA,268013
415,Pondokgede,IDN,263200
435,Pondok Aren,IDN,92700
493,Pondicherry,IND,203065
984,Pointe-Noire,COG,500000
770,Podgorica,YUG,135000
231,Plovdiv,BGR,342584
827,Piura,PER,325000
432,Pisa,ITA,92379
73,Piracicaba,BRA,319104
121,Pinhais,BRA,98198
642,Pingyi,CHN,89373
842,Pingxiang,CHN,425579
956,Pingliang,CHN,99265
915,Pingdu,CHN,150123
844,Pingdingshan,CHN,410775
937,Pingchen,TWN,188344
309,Pinetown,ZAF,378810
163,Pindamonhangaba,BRA,121904
690,Pinar del RÃ­o,CUB,142100
561,Pilibhit,IND,106605
52,Pilar,ARG,113428
310,Pietermaritzburg,ZAF,370190
867,Piatra Neamt,ROM,125070
429,Piacenza,ITA,98384
663,Phyongsong,PRK,272934
542,Phoenix,USA,1321045
771,Phnom Penh,KHM,570155
118,PetrÃ³polis,BRA,279183
801,Petropavl,KAZ,203500
415,Petah Tiqwa,ISR,159400
427,Pescara,ITA,115698
652,Pesaro,ITA,88987
37,Perth,AUS,1096829
686,Peristerion,GRC,137288
646,Pereira,COL,381725
281,Percut Sei Tuan,IDN,129000
418,Pematang Siantar,IDN,203056
430,Pemalang,IDN,103500
810,Peking,CHN,7472000
408,Pekan Baru,IDN,438638
413,Pekalongan,IDN,301504
774,Pegu (Bago),MMR,190900
532,Pavlodar,KAZ,300500
122,Paulista,BRA,248473
165,Patos de Minas,BRA,119262
127,Patos,BRA,90519
448,Patna,IND,917243
484,Patiala,IND,238368
576,Patan,IND,96109
280,Pasuruan,IDN,134019
972,Pasto,COL,332396
120,Passos,BRA,98570
330,Pasig,PHL,505058
336,Pasay,PHL,354908
103,ParnaÃ­ba,BRA,129756
186,Parnamirim,BRA,96210
423,Parma,ITA,168717
330,Parbhani,IND,190255
221,ParaÃ±aque,PHL,449811
43,ParanÃ¡,ARG,207041
159,ParanaguÃ¡,BRA,126076
53,Parakou,BEN,103577
843,Panzhihua,CHN,415466
566,Panjin,CHN,362773
489,Panipat,IND,215218
477,Panihati,IND,275990
282,Pangkal Pinang,IDN,124000
358,Panabo,PHL,133950
291,Pamplona [IruÃ±a],ESP,180483
162,Palmas,BRA,121919
188,Palma de Mallorca,ESP,326993
554,Pallavaram,IND,111866
542,Palghat (Palakkad),IND,123289
629,Palermo,ITA,683794
404,Palembang,IDN,1222764
574,Palayankottai,IND,97662
633,Padova,ITA,211391
437,Padang Sidempuan,IDN,91200
407,Padang,IDN,534474
47,Pabna,BGD,103277
321,Paarl,ZAF,105768
370,Ozamis,PHL,110420
476,Oyama,JPN,152820
213,Oxford,GBR,144000
289,Oviedo,ESP,200453
248,Ovalle,CHL,94854
123,Ourinhos,BRA,96291
200,Ourense (Orense),ESP,109120
925,Oulu,FIN,120753
711,Oujda,MAR,365382
781,Ottawa,CAN,335277
738,OthÃ³n P. Blanco (Chetumal),MEX,208014
714,Otaru,JPN,155784
479,Ota,JPN,145317
162,Osorno,CHL,141468
801,Oslo,NOR,508726
688,Osijek,HRV,104761
643,Osh,KGZ,222700
64,Osasco,BRA,659604
657,Osaka,JPN,2595674
84,Oruro,BOL,223553
15,Oran,DZA,609823
802,Oral,KAZ,195500
572,Orai,IND,98640
864,Oradea,ROM,222239
844,Opole,POL,129553
758,Onomichi,JPN,93756
785,Onitsha,NGA,371900
378,Ongole,IND,100836
720,Omuta,JPN,142889
920,Omdurman,SDN,1271403
347,Olongapo,PHL,194260
954,Olomouc,CZE,102702
502,Olmalik,UZB,114900
71,Olinda,BRA,354732
212,Oldbury/Smethwick (Warley),GBR,145542
738,Okinawa,JPN,117748
441,Okayama,JPN,624269
671,Oita,JPN,433401
716,Ogaki,JPN,151758
894,Offenbach am Main,DEU,116627
580,Odessa,USA,89293
979,Odesa,UKR,1011000
510,Ocumare del Tuy,VEN,97168
707,Obihiro,JPN,173685
885,Oberhausen,DEU,222349
735,Oaxaca de JuÃ¡rez,MEX,256848
524,Oakville,CAN,139192
547,Oakland,USA,399484
809,Nyeri,KEN,91258
261,Nuuk,GRL,13445
698,Numazu,JPN,211382
525,NovotÅ¡erkassk,RUS,184400
504,Novopolotsk,BLR,106000
528,Novomoskovsk,RUS,138100
82,Novo Hamburgo,BRA,239940
768,Novi Sad,YUG,179626
62,Nova IguaÃ§u,BRA,862225
142,Nova Friburgo,BRA,170697
716,NouÃ¢dhibou,MRT,97600
997,NoumÃ©a,NCL,76293
201,Nottingham,GBR,287000
216,Norwich,GBR,124000
574,Norwalk,USA,103298
517,North York,CAN,622632
998,North Shore,NZL,187700
518,North Dum Dum,IND,149965
569,North Barrackpur,IND,100513
521,Noida,IND,146514
488,Noda,JPN,121030
769,NiÅ¡,YUG,175391
522,Niznevartovsk,RUS,233900
321,Nizamabad,IND,241034
102,NiterÃ³i,BRA,459884
501,Nishio,JPN,100032
448,Nishinomiya,JPN,397618
546,Ningbo,CHN,1371200
149,NilÃ³polis,BRA,153383
3,Nijmegen,NLD,152463
718,Niiza,JPN,147744
443,Niigata,JPN,497464
214,Nigel,ZAF,96734
548,Neyveli,IND,118080
215,Newport,GBR,139000
38,Newcastle,AUS,270324
315,New Bombay,IND,307297
46,NeuquÃ©n,ARG,167296
625,Netanya,ISR,154900
790,Nepean,CAN,115100
473,Nellore,IND,316606
973,Neiva,COL,300052
578,Neijiang,CHN,256012
325,Nazret,ETH,127842
45,Nawabganj,BGD,130577
536,Navsari,IND,126089
343,Navotas,PHL,230403
746,Navolato,MEX,145396
539,Navadwip,IND,125037
381,Nasugbu,PHL,96113
63,Nassau,BHS,172000
454,Nashik (Nasik),IND,656925
43,Narayanganj,BGD,202134
450,Nara,JPN,362812
565,Naperville,USA,128358
72,Naogaon,BGD,101266
850,Nantes,FRA,270251
823,Nanning,CHN,1161800
814,Nanking [Nanjing],CHN,2870300
478,Nanded (Nander),IND,275083
597,Nanchong,CHN,180273
545,Nanchang,CHN,1691600
675,Namyangju,KOR,229060
684,Namwon,KOR,103544
51,Namur,BEL,105419
662,Nampo,PRK,566200
16,Namibe,AGO,118200
500,Namangan,UZB,370500
807,Nakuru,KEN,163927
948,Nakhon Ratchasima,THA,181400
912,Najran,SAU,91000
604,Najafabad,IRN,178498
